country,reserve
Australia , 50 billion tonnes
Brazil , 31 billion tonnes
Russia , 25 billion tonnes
China , 23 billion tonnes
India , 22 billion tonnes
Ukraine , 7 billion tonnes
South Africa , 6 billion tonnes
Canada , 6 billion tonnes
United States , 3 billion tonnes
Iran , 3 billion tonnes
Iran - 3 billion tonnes,
